Datum,Region,Kundenpünktlichkeit KPP,KPP FV,KPP RV,KAP,KAP FV,KAP RV
2021-02-07,RWT,93.1500408056,92.6211925232,94.0352394994,94.2171162742,94.0020225309,94.5410627254
2021-02-08,ROT,96.3818476497,94.072349835,97.1740446994,96.7105269451,94.3904599674,97.4032866042
2021-02-08,RSD,96.6590126728,96.7880501493,96.5448558521,96.7737123937,96.5261565028,96.9657571864
2021-03-06,NETZ,96.5495129992,94.4145078109,98.2443339828,97.3808130759,95.0819338808,98.9312283834
2021-03-06,RSD,93.3578757009,92.7379401808,94.0190989759,94.7532684373,94.3265557297,95.1071662324
2021-03-07,NETZ,96.9722527117,95.9268925313,97.8028861676,97.5246367434,96.3947175909,98.2873462255
2021-03-07,ROT,97.564656999,95.8637733312,98.3379040192,97.9021959677,96.0256239032,98.6045874549
2021-03-08,RME,93.9962551994,93.4502151445,94.5377373443,94.8975560776,93.9340484552,95.7856868226
2021-03-08,RSD,94.327530116,93.7439243385,94.8454024508,94.6659659969,93.9850227942,95.1920466285
2021-03-09,ROT,95.6731124759,93.3788252527,96.4537430554,96.5423682285,94.0064464419,97.2954947392
2021-03-09,RWT,93.7328246272,95.4270206528,91.5111918999,95.1170443456,96.4624903971,93.4206752159
2021-03-12,RME,94.6101386691,93.4087749443,95.8058563372,94.9976847877,93.9543856544,95.9553713309
2021-03-12,RWT,83.5381037758,82.6260371804,84.746062863,90.2371781071,90.1993560936,90.2841703515
2021-01-31,NETZ,97.3786288028,96.0533198271,98.4171618559,98.1017423433,96.8183038579,98.9541850038
2021-01-31,RME,97.2074420341,96.6094482562,97.9792211261,97.5266740876,97.0223480805,98.0898740853
2021-02-02,ROT,95.2972304479,94.5029586848,95.5690149662,95.9676502677,95.5312716199,96.097484711
2021-02-02,RSD,91.902162968,90.5500704222,93.1141285363,91.7194552247,90.0823956309,92.9951978542
2021-02-06,RWT,95.43116454,95.6700108419,95.0278458846,96.1605241532,96.8418651956,95.1324648172
2021-05-27,ROT,95.0987566848,87.3562098386,97.7658114794,95.9405720852,89.1565332896,97.9505579273
2021-08-26,RSD,95.9634093457,95.4764861684,96.438964605,96.5414619558,96.2407673999,96.7942357746
2021-08-28,RSD,89.3425933876,85.6721982696,93.8086293928,91.2532007096,87.932673303,94.2496316631
2021-08-29,RME,94.7522181403,92.9515548559,97.0109863028,95.2236291654,93.5499780363,97.0027653223
2021-08-30,ROT,89.3586816175,90.2593592476,89.0462099059,90.4869718924,91.4184017305,90.2024783419
2021-08-30,RWT,88.2507434461,86.2530560985,90.2454103284,89.4080308862,87.4143586894,91.3084460864
2021-08-31,RME,93.9862532162,92.9649374568,95.0094399018,94.6302494649,93.2882123581,95.8735635327
2021-01-15,RSD,87.4463133315,81.7698669415,92.0343846178,89.6920785147,86.3335221151,91.9884016848
2021-01-16,ROT,80.5177535054,65.0080599407,86.6767429111,83.3023237888,67.7756538107,88.4006566936
2021-11-16,RME,90.255338604,87.2361282876,93.2951398051,91.0994703763,88.7443381458,93.2455747133
2021-11-16,ROT,94.7965161502,91.1676008549,96.0284152158,95.3720149257,92.3526621042,96.2589023265
2021-11-17,RSD,95.5083361162,94.7340300998,96.3068581981,95.9478784544,94.9416210707,96.8560824947
2021-11-17,RWT,81.4608802053,76.6552165053,87.2831806502,81.8718419315,76.7574414466,87.7700183233
2021-10-05,NETZ,91.5194735652,87.132447652,94.2622136917,92.096002818,87.9148695442,94.4623381406
2021-10-05,RME,88.9883008144,86.3693114243,91.6194684047,89.5922946166,87.0538527403,91.9300533699
2021-10-05,RSD,91.0592078444,89.9778696782,92.1760225219,91.8351698079,90.0075987513,93.5091068708
2021-10-06,RSD,90.4007133238,90.6670940655,90.1287576382,92.068055535,91.842851184,92.272299709
2021-10-07,RWT,85.4552297069,83.5800881061,87.8697155101,86.3564580915,84.8073127539,88.2526599108
2021-10-08,RSD,92.0890242757,90.3366984855,93.8770327778,93.0595717637,91.3937184775,94.5518987406
2021-10-08,RWT,89.0990564352,87.7189122651,90.5984768866,90.0674807529,88.7299050645,91.4276029808
2021-10-25,RWT,85.1682548131,82.0193013148,88.6057003151,86.2923352821,82.8992789132,89.7698213536
2021-10-26,NETZ,89.2002092555,85.6260385022,91.4415333871,89.9549409676,86.4106017813,91.9601683983
2021-10-26,RSD,83.7816548454,78.707399772,88.9537433761,85.5433612597,80.5659436048,89.9927437214
2021-10-27,ROT,87.7671922722,85.0621850763,88.6986265678,88.2642372518,85.7468875311,89.0198163027
2021-10-28,ROT,93.7799635156,90.7171500801,94.8330735712,94.2386690279,91.2065323362,95.1485123475
2021-10-29,RME,91.1432313303,88.5944427172,93.7143226105,91.4430332972,88.8279150937,93.8547338982
2021-10-31,RME,92.9759533126,92.6357525816,93.345266001,93.4375494671,93.4087684745,93.4639087183
2021-10-31,ROT,97.0614339392,94.7519731812,98.0914688438,97.9010489932,95.5832282518,98.7567609876
2021-11-07,NETZ,95.8293526178,92.5812487886,98.207492791,96.2771114847,92.87834976,98.3625404292
2021-11-07,RSD,93.6718072877,93.7934939585,93.5250835784,94.6323245073,93.5425079031,95.6401538205
2021-11-08,ROT,92.1223027456,91.9322031311,92.1872439212,93.0352111166,93.0565685721,93.0288604313
2021-11-08,RWT,85.0390970797,84.1212641232,86.2683547569,86.6179674229,86.0994887541,87.2758954237
2021-11-09,NETZ,87.7315021811,81.7460207694,91.39872297,88.833858127,83.0524817907,91.9859799019
2021-11-10,NETZ,89.0646163818,83.1297691139,92.623807802,91.209812683,86.5416593758,93.6547533145
2021-11-10,ROT,93.7092916967,87.8989191683,95.6720453269,94.3421170241,88.9414956046,95.9225984193
2021-11-10,RSD,89.7724251536,88.8769243159,90.6678860513,93.0528315035,90.8603765225,95.0384153899
2021-11-12,ROT,94.2934995812,90.771957731,95.4957392512,95.0653876976,91.4770158977,96.1359195684
2021-11-12,RSD,93.0875927601,92.7291257576,93.458427488,93.4886568691,93.4179367023,93.5523784345
2021-11-13,RME,93.3194969686,90.8940705391,96.504233166,94.1508824766,92.0203485134,96.514433296
2021-11-13,RSD,89.1310403607,87.054876334,91.6989463036,90.1287700457,87.6151659283,92.4725032745
2021-09-23,NETZ,90.0998028125,86.3128978444,92.4613217022,90.6827574552,87.0696781948,92.7233719812
2021-09-24,NETZ,88.641959487,83.668926642,91.7139804116,89.8065364654,84.9890945586,92.4959880242
2021-09-14,ROT,93.5520167476,85.9366566767,96.1570665989,94.2703227128,87.2438549954,96.3502177889
2021-09-15,NETZ,87.719534837,82.200184297,91.1625783513,88.661893874,83.1919687426,91.7513666295
2021-09-16,ROT,90.590081859,83.7595059165,92.9301973391,91.3425531146,84.6327282144,93.3438093392
2021-09-16,RSD,90.105522063,88.4068473207,91.8126058598,91.4563008985,88.584156887,94.0117330026
2021-09-18,NETZ,92.9253900252,87.9928960477,96.8188325747,94.0009300178,89.180148877,97.2177386522
2021-09-18,RSD,94.709513882,95.4494361246,93.8006201915,95.1269318262,95.7670755058,94.5309929196
2021-09-19,RWT,91.057302221,90.3762000701,92.1453188837,92.2646310737,91.6490318171,93.1626124936
2021-09-20,RWT,89.9155757929,89.5899113223,90.3368473808,91.1489473085,91.2001105189,91.086002085
2021-08-04,ROT,94.3155198486,89.5126044883,95.9347097045,94.9696652175,90.7247235423,96.205476632
2021-08-05,RME,91.3050683131,87.7632480347,94.8279885364,91.9837650107,88.684386172,94.9852711081
2021-08-06,ROT,96.0146915193,90.3412204677,97.9027765432,96.8764095987,91.5061219168,98.4283014568
2021-08-06,RSD,77.3176523876,75.5538777628,79.0501407359,79.3955637132,77.9479766477,80.6277761324
2021-08-07,RME,92.8420655141,90.291306884,96.0983940746,93.3149966846,90.523621476,96.3169032878
2021-08-07,RSD,88.8156853031,87.3935991908,90.5083368863,91.878384878,88.6900899324,94.8183107721
2021-08-09,NETZ,91.9935139731,89.3245712181,93.660027801,92.4321362143,89.8176415382,93.9148071242
2021-08-09,RSD,93.2177724339,92.3935349177,94.012149573,95.2774168872,94.3260115867,96.0833416006
2021-08-10,RME,92.1685802739,87.9856756393,96.3665413498,93.0538811009,89.272974039,96.5025141427
2021-05-15,NETZ,96.662751114,94.9828976515,97.917968989,96.9912248743,95.2358394534,98.1060385966
