Datum;Region;Kundenpünktlichkeit KPP;KPP FV;KPP RV;KAP;KAP FV;KAP RV;ZPK;ZPK FV;ZPK RV;KCOR;cor;Schlüssel
2021-09-06;RSD;93.290269178;92.2689606344;94.3433006336;93.6537274954;92.6271600367;94.5788711125;90.3023483366;89.5;90.6984410523;96.14166106;97.7272727273;2021-09-06 00:00:00-RSD
2021-06-23;RSD;83.394463932;81.4556282241;85.3595407564;84.5341391994;81.8097392733;86.9660790089;84.2085201794;83.0728952772;84.761753918;90.2263429047;95.8126969833;2021-06-23 00:00:00-RSD
2021-06-26;NETZ;95.6711091973;93.148695836;97.6663085881;96.5128099778;94.2525459645;98.0184679678;94.8560928781;93.2204694406;95.1617720365;97.8014490645;99.2613344449;2021-06-26 00:00:00-NETZ
2021-06-26;RWT;92.1990089479;91.9034667463;92.6868028283;93.3983794281;92.4758504673;94.8039328796;91.218375622;92.3553004901;90.8629032258;98.5441600841;98.6341668418;2021-06-26 00:00:00-RWT
2021-06-27;RME;95.1090328467;93.5665400152;97.0997014016;95.6538458008;94.292756937;97.1439186644;94.29915662;93.4714285714;94.4923317997;98.0552354745;98.9690355149;2021-06-27 00:00:00-RME
2021-01-17;RSD;94.4228092678;95.8194309306;92.9913606316;96.5836605831;96.8025564567;96.402499523;94.480034227;96.4581749049;93.6320293399;96.7682736863;98.3689538808;2021-01-17 00:00:00-RSD
2021-07-26;NETZ;92.4978849989;89.3322343133;94.4708850709;93.3660756396;90.6196373015;94.9128606337;92.2308778062;90.4482758621;92.5472748378;95.4876695342;98.3844497777;2021-07-26 00:00:00-NETZ
2021-07-26;RSD;87.2484102884;82.1349368721;92.4572561331;88.4931375153;83.2325743744;93.1728329171;86.4366427172;82.6468071099;88.3093689005;90.8533071688;94.836330106;2021-07-26 00:00:00-RSD
2021-07-27;NETZ;93.5767955076;89.5340220411;96.0966921236;94.3185778772;90.5485805875;96.4342338841;91.9315421503;88.8353137765;92.4816459287;97.1110965473;98.8283740701;2021-07-27 00:00:00-NETZ
2021-07-27;RWT;91.2773398063;89.2644073811;94.1437073434;91.9419127261;90.3037796245;94.1666009291;88.8230104429;88.0969261279;89.0549572379;97.0021502351;98.4244856999;2021-07-27 00:00:00-RWT
2021-07-28;NETZ;94.1735618446;89.5151387807;97.0943854195;94.7272888051;90.2238761447;97.2806403662;92.1069560553;89.1363904019;92.638753459;97.3012820852;98.990660762;2021-07-28 00:00:00-NETZ
2021-07-28;RME;93.6946811819;90.706619799;96.7035416541;94.3182805774;91.4828411114;96.9228392708;91.9161801932;88.0526691407;92.769837265;97.3792382414;98.7264258493;2021-07-28 00:00:00-RME
2021-07-31;ROT;97.202756511;94.211733393;98.5556484837;97.7300013695;94.5166596602;98.9272346434;96.8444676409;95.4183673469;96.9949992307;98.4413942674;99.3303992455;2021-07-31 00:00:00-ROT
2021-08-01;RSD;88.5058357274;86.2443128637;91.2244307296;90.2699655915;86.7419038237;93.4859766011;88.716374269;88.4836531628;88.8305439331;92.6539855629;97.1264367816;2021-08-01 00:00:00-RSD
2021-08-01;RWT;93.8775522903;92.7336701352;95.575233196;95.1260231513;93.4707976817;97.333244912;93.5621452894;92.9539969834;93.7491420091;98.8811301124;99.4610177989;2021-08-01 00:00:00-RWT
2021-10-21;RME;83.4784891588;81.1769730709;85.8126354523;84.5631641814;82.5032627039;86.4483715192;86.708647098;85.5312944523;86.9671998001;94.6701528058;97.2982192809;2021-10-21 00:00:00-RME
