Datum,Region,Kundenpünktlichkeit KPP,KPP FV,KPP RV,KAP,KAP FV,KAP RV
2021-04-10,NETZ,96.987019974,94.8116676214,98.6971906111,97.9478329538,96.3505683557,98.9984328002
2021-04-11,NETZ,97.446257784,95.9685108401,98.6048802714,97.8398510691,96.3851043999,98.7997957219
2021-04-12,NETZ,90.9987490523,88.7232917832,92.4097251489,91.7247798983,89.6402027957,92.8929217095
2021-04-13,NETZ,93.0408497685,88.3422586788,95.9550150993,93.8288898158,89.4383693038,96.274654379
2021-04-14,NETZ,95.1690360534,92.3755081133,96.9048919656,95.7858014856,93.0127947342,97.3420362194
2021-04-15,NETZ,90.6926761209,83.934927137,94.8703845602,91.5856607983,84.7920255866,95.3500586999
2021-04-16,NETZ,94.7103633213,91.5146359364,96.6923634843,95.1694342167,92.1826440048,96.8405211503
2021-04-17,NETZ,97.6618984891,96.08427648,98.9121410721,98.0944640294,96.467410298,99.1795463576
2021-04-18,NETZ,97.1974972119,95.0185568883,98.9215874364,97.8703619008,95.8988076159,99.1742485827
2021-04-19,NETZ,93.1518966672,87.9637497174,96.3703041199,93.9268225479,88.9883293841,96.6837797633
2021-04-20,NETZ,92.9402823218,88.9693468934,95.4147778297,93.81888832,90.0585241018,95.9362454212
2021-04-21,NETZ,93.1070965924,90.5299132969,94.7158198168,93.9184553371,91.1334170033,95.496401717
2021-04-22,NETZ,94.8246697712,92.0786253148,96.5227799295,95.4143280801,92.5328774327,97.0304576358
2021-04-23,NETZ,93.5795417078,91.6309371963,94.8035417931,94.4897618677,92.3053631619,95.7414483684
2021-04-24,NETZ,96.2624052867,94.7687031308,97.456770544,97.283929239,96.2170624422,98.001761219
2021-04-25,NETZ,96.5809980583,94.1370348747,98.5367219433,97.1116681569,94.7268248935,98.7196659044
2021-04-26,NETZ,94.1244231851,90.8199249942,96.1940809793,94.9446825578,92.0158516886,96.6027377839
2021-04-27,NETZ,93.6023248323,90.391110439,95.6288187325,95.2155288984,92.2913176664,96.8797402794
2021-04-28,NETZ,89.0508774722,84.2002831047,92.1631638346,90.5443975111,85.9841254291,93.183884914
2021-04-29,NETZ,94.0794998093,91.3568296987,95.7899026086,94.9575939577,92.3169016095,96.4618268828
2021-04-30,NETZ,93.7400572898,90.3761902588,95.8533575935,94.336642087,91.0441721952,96.217408334
2021-05-01,NETZ,93.3015221839,88.148052604,97.1352353666,94.5076011096,89.6687881639,97.5052767598
2021-05-02,NETZ,95.3250892171,92.2310675005,97.6431326856,96.0512488799,92.7300991398,98.1316083553
2021-05-03,NETZ,95.5127747126,93.0563109034,97.0499851313,95.875478898,93.39032868,97.2872238844
2021-05-04,NETZ,94.8345027829,92.1515585373,96.5022246818,95.3817942012,92.7917587833,96.8433615624
2021-05-05,NETZ,89.2731134952,83.1288737605,93.087670233,90.3726776134,84.3943560096,93.7130230916
2021-05-06,NETZ,91.9909745254,88.3222389039,94.2864941154,92.535584748,88.7591093249,94.6840466818
2021-05-07,NETZ,94.0008086545,90.244392415,96.3457073168,94.6365362054,91.0901218494,96.6468051514
2021-05-08,NETZ,95.783053668,92.8827187167,97.951199542,96.5609193712,93.7859402405,98.295973412
2021-05-09,NETZ,96.4441454817,94.7783271571,97.6809098439,97.023293528,95.3053628224,98.0899367357
2021-05-10,NETZ,93.5601951912,90.6471770054,95.3806374228,94.3046403804,91.0555482958,96.149819777
2021-05-11,NETZ,87.5394912998,84.1058351753,89.6824903816,88.6383862535,85.7301344816,90.2716189519
2021-05-12,NETZ,95.2719785332,92.7098519926,96.8662865882,95.965474953,93.5958672122,97.3003684062
2021-05-13,NETZ,96.3314945662,94.0896980688,98.0069714673,96.9273750214,94.6509890486,98.375606304
2021-05-14,NETZ,95.0074159582,91.5173997262,97.090902231,95.7563149204,92.8096243293,97.3378318533
2021-05-15,NETZ,96.662751114,94.9828976515,97.917968989,96.9912248743,95.2358394534,98.1060385966
2021-05-16,NETZ,95.7628369135,92.5058211409,98.2160686145,96.3795324048,93.2032581254,98.410573218
2021-05-17,NETZ,91.8453682908,86.7080276962,95.0567589738,92.5200462753,87.6098973288,95.2933278925
2021-05-18,NETZ,93.5247088824,89.6064536717,95.9736218114,94.1021527535,90.4011117543,96.1960012196
2021-05-19,NETZ,93.3223640601,90.0099870842,95.3916991577,93.8608960009,90.3977471679,95.82818831
2021-05-20,NETZ,93.9345471433,89.9750453279,96.4060441967,94.4476769596,90.6656770151,96.5842868531
2021-05-21,NETZ,90.211026711,85.2162218976,93.3384900777,90.5146052243,85.7167030397,93.2412719802
2021-05-22,NETZ,97.6694090828,96.0879557217,98.9184817521,97.8428476747,96.2510006352,98.9064945303
2021-05-23,NETZ,97.4909975899,96.1657686325,98.5348910681,97.6325311272,96.3822145595,98.4636872133
2021-05-24,NETZ,96.8329370613,94.6275708285,98.5752892889,97.1198126655,95.0088213303,98.5279640391
2021-05-25,NETZ,95.4670081895,93.3971400325,96.7589983371,95.588432426,93.5101666711,96.7657547237
2021-05-26,NETZ,95.041989568,92.0148486705,96.9372498624,95.3971982533,92.1340635379,97.2547016302
2021-05-27,NETZ,93.112862998,87.7191878581,96.4936475684,94.0042676272,89.1169631285,96.7565935514
2021-05-28,NETZ,89.8672275671,84.5182996652,93.2340373973,90.6301098234,85.4650149729,93.5701990899
2021-05-29,NETZ,96.8383373631,95.1263110336,98.1339272733,97.3732813301,95.8119195998,98.3574935203
2021-05-30,NETZ,95.8686406127,93.3401770975,97.7768548652,96.4164659466,93.9531660302,97.9675074369
2021-05-31,NETZ,92.6515237519,89.6955175353,94.4999987296,93.316754944,90.4765802128,94.9272821372
2021-06-01,NETZ,92.6012487041,88.5821260914,95.1091925167,93.3419463532,89.4135386793,95.5620423129
2021-06-02,NETZ,91.4498638619,88.8050518816,93.0943189611,92.3146887669,89.9533207039,93.6438791989
2021-06-03,NETZ,94.4972869973,91.6643719642,96.2704762497,95.0566724609,92.3884899283,96.5702470733
2021-06-04,NETZ,92.8360604803,88.8721941089,95.3061325217,93.987527277,90.0731153776,96.1946490105
2021-06-05,NETZ,95.8109251475,93.629172888,97.5569508598,96.4941223749,94.2306946082,98.021875691
2021-06-06,NETZ,95.4883917309,92.3782163093,97.9750754038,96.207465989,93.468538262,98.0386156008
2021-06-07,NETZ,91.3013819387,89.381714848,92.5015103444,92.1961402054,90.4328892782,93.1995877141
2021-06-08,NETZ,91.087403925,85.8511366665,94.3333448015,92.2451311951,87.2376045644,95.0595795469
2021-06-09,NETZ,93.6881575134,91.339074362,95.1483866008,94.5608945368,92.3158826864,95.826689113
2021-06-10,NETZ,94.3939966075,91.5827179468,96.1501096864,94.9005756472,92.3544391422,96.3384075107
2021-06-11,NETZ,93.1773833055,88.8563366798,95.8636930301,94.1179405528,90.3457617582,96.2314241604
2021-06-12,NETZ,95.5384195289,93.1233546621,97.4484400347,96.4404745185,93.7665905208,98.2362986867
2021-06-13,NETZ,95.6535569899,93.0338487821,97.7405096737,96.2837800485,93.7087271769,98.0184209602
2021-06-14,NETZ,93.7140241952,89.8587479376,96.1244535314,94.6997768435,91.1312657749,96.7200409484
2021-06-15,NETZ,90.6028950833,87.0095654381,92.8249372358,91.8758782569,88.2090492411,93.9412065947
2021-06-16,NETZ,94.1917792899,91.5119174704,95.866473471,94.791466083,92.2466029561,96.232177477
